Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
5.3959,13.1670,117,ACHIDA,8,SOKOTO,SO,WURNO,22,0.0155682334,0.0000153563,WURNOACHIDA
5.6208,11.8125,129,ADABKA,1,ZAMFARA,ZF,BUKKUYUM,4,0.7176088743,0.0289270241,BUKKUYUMADABKA
5.5103,11.1162,132,ADAI,1,KEBBI,KB,SAKABA,16,0.4431569659,0.0110758275,SAKABAADAI
4.4953,10.7923,145,ADEHE,1,NIGER,NG,AGWARA,2,0.1511897377,0.0003755019,AGWARAADEHE
7.1941,9.5657,183,ADUNU,1,NIGER,NG,PAIKORO,19,0.2699066056,0.0027607659,PAIKOROADUNU
4.7055,10.8360,316,AGWATA,2,NIGER,NG,AGWARA,2,0.1356394879,0.0003282271,AGWARAAGWATA
5.9400,9.6877,417,AKARE,1,NIGER,NG,WUSHISHI,25,0.3028188704,0.004967486,WUSHISHIAKARE
4.5064,12.1327,541,ALELU/GEHURU,1,KEBBI,KB,JEGA,11,0.4628860069,0.0114831328,JEGAALELU/GEHURU
4.4702,12.2870,547,ALIERO  DANGALADIMA I,1,KEBBI,KB,ALIERO,1,0.0110686043,0.00000442155,ALIEROALIERO  DANGALADIMA I
4.4321,12.2704,548,ALIERO  DANGALADIMA II,2,KEBBI,KB,ALIERO,1,0.3203319039,0.0024596911,ALIEROALIERO  DANGALADIMA II
4.4683,12.2899,549,ALIERO S/FADA I,3,KEBBI,KB,ALIERO,1,0.0197070413,0.00001435869,ALIEROALIERO S/FADA I
4.4587,12.3042,550,ALIERO S/FADA II,4,KEBBI,KB,ALIERO,1,0.3693164437,0.0066638248,ALIEROALIERO S/FADA II
3.9174,11.5869,554,ALJANNARE,1,KEBBI,KB,SURU,18,0.3220562223,0.0060821186,SURUALJANNARE
5.3581,13.1296,557,ALKAMMU/GYELGYEL,9,SOKOTO,SO,WURNO,22,0.1395568055,0.0011019393,WURNOALKAMMU/GYELGYEL
6.6697,10.3489,561,ALLAWA,1,NIGER,NG,SHIRORO,22,0.7775105595,0.0356010484,SHIROROALLAWA
4.4305,12.5930,576,ALWASA/GOTOMO,1,KEBBI,KB,ARGUNGU,3,0.2488335,0.0023857329,ARGUNGUALWASA/GOTOMO
4.3220,12.5274,655,AMBURSA,14,KEBBI,KB,BIRNIN KEBBI,6,0.1605448534,0.000299231,BIRNIN KEBBIAMBURSA
4.4242,11.8592,712,ANDARAI/ KURUNKWU/ ZONGUN LIBA,1,KEBBI,KB,MAIYAMA,14,0.617608699,0.0185736997,MAIYAMAANDARAI/ KURUNKWU/ ZONGUN LIBA
5.3521,13.7411,764,ARABA,7,SOKOTO,SO,ILLELA,8,0.242874662,0.00242684,ILLELAARABA
5.4717,10.4081,786,AREWA,1,NIGER,NG,KONTAGORA,11,0.008258655,0.00000408573,KONTAGORAAREWA
6.5776,9.0621,787,AREWA/YAMMA,1,NIGER,NG,LAPAI,12,0.1284088862,0.0002315686,LAPAIAREWA/YAMMA
5.2150,13.0258,797,ARKILLA,1,SOKOTO,SO,WAMAKKO,21,0.1375779877,0.0012989847,WAMAKKOARKILLA
5.3162,13.5660,830,ASARA  AREWA,2,SOKOTO,SO,GWADABAWA,7,0.2337676082,0.0035765199,GWADABAWAASARA  AREWA
5.2873,13.4603,831,ASARA KUDU,1,SOKOTO,SO,GWADABAWA,7,0.2775655658,0.0043832098,GWADABAWAASARA KUDU
5.1593,13.3622,867,ATAKWANYO,3,SOKOTO,SO,GWADABAWA,7,0.26190245,0.0039346473,GWADABAWAATAKWANYO
4.6941,11.3879,897,ATUWO,1,KEBBI,KB,SHANGA,17,0.4585148875,0.0099996739,SHANGAATUWO
4.5881,12.8897,903,AUGIE NORTH,1,KEBBI,KB,AUGIE,4,0.0620650481,0.00006730335,AUGIEAUGIE NORTH
4.6051,12.9096,904,AUGIE SOUTH,2,KEBBI,KB,AUGIE,4,0.0928597331,0.0003592342,AUGIEAUGIE SOUTH
4.7305,10.1591,907,AUNA CENTRAL,1,NIGER,NG,MAGAMA,14,0.512140813,0.0097956826,MAGAMAAUNA CENTRAL
5.0439,10.2998,908,AUNA EAST,3,NIGER,NG,MAGAMA,14,0.3660723755,0.0071713507,MAGAMAAUNA EAST
4.9632,10.3713,909,AUNA EAST CENTRAL,2,NIGER,NG,MAGAMA,14,0.5413588867,0.008751277,MAGAMAAUNA EAST CENTRAL
4.7594,10.0044,910,AUNA SOUTH,5,NIGER,NG,MAGAMA,14,0.4282970264,0.0075689549,MAGAMAAUNA SOUTH
4.7937,10.1626,911,AUNA SOUTH EAST,4,NIGER,NG,MAGAMA,14,0.8588606226,0.0392938442,MAGAMAAUNA SOUTH EAST
4.4377,13.5933,972,AWULKITI,7,SOKOTO,SO,GUDU,6,0.1767103198,0.0004093504,GUDUAWULKITI
5.8775,11.2064,1010,AYU,1,KEBBI,KB,WASAGU/DANKO,19,0.4226543678,0.0112694927,WASAGU/DANKOAYU
3.8923,10.4376,1043,BABANNA,1,NIGER,NG,BORGU,4,1.2484910903,0.0722393851,BORGUBABANNA
5.3615,10.2054,1047,BABBAN  RAMI,1,NIGER,NG,MASHEGU,16,1.0533066186,0.0391351553,MASHEGUBABBAN  RAMI
4.1810,13.3840,1057,BACHAKA,3,SOKOTO,SO,GUDU,6,0.3825374194,0.0074493949,GUDUBACHAKA
6.4978,13.0255,1063,BADARAWA,1,ZAMFARA,ZF,SHINKAFI,11,0.1543737734,0.0010219035,SHINKAFIBADARAWA
4.1924,12.3010,1066,BADARIYA/MAGARZA,1,KEBBI,KB,KALGO,12,0.1085506003,0.0002665435,KALGOBADARIYA/MAGARZA
5.1649,12.7882,1067,BADAU/DARHELA,5,SOKOTO,SO,BODINGA,2,0.093644545,0.0005323234,BODINGABADAU/DARHELA
6.1864,9.0846,1068,BADEGGI,2,NIGER,NG,KATCHA,10,0.2330466155,0.0029556134,KATCHABADEGGI
5.1944,12.9916,1071,BADO/KASARAWA,2,SOKOTO,SO,WAMAKKO,21,0.149943894,0.0014440748,WAMAKKOBADO/KASARAWA
7.1836,9.1870,1080,BAGAMA \B\,2,NIGER,NG,SULEJA,23,0.0363449396,0.0000505916,SULEJABAGAMA \B\
5.2044,12.8948,1084,BAGARAWA,2,SOKOTO,SO,BODINGA,2,0.1020140189,0.0004510311,BODINGABAGARAWA
4.5833,12.8790,1085,BAGAYE/MERA,3,KEBBI,KB,AUGIE,4,0.2691674676,0.0021286962,AUGIEBAGAYE/MERA
6.0067,11.8840,1087,BAGEGA,1,ZAMFARA,ZF,ANKA,1,0.5422893201,0.0156267222,ANKABAGEGA
4.7516,12.2686,1089,BAGIDA/LUKKINGO,4,SOKOTO,SO,TAMBUWAL,18,0.5024635918,0.0102812305,TAMBUWALBAGIDA/LUKKINGO
7.1850,9.1765,1092,BAGMAMA \A\,1,NIGER,NG,SULEJA,23,0.0196987242,0.00002015982,SULEJABAGMAMA \A\
4.2030,11.3956,1094,BAGUDO/TUGA,1,KEBBI,KB,BAGUDO,5,0.3633197853,0.0080996752,BAGUDOBAGUDO/TUGA
4.1232,11.4766,1097,BAHINDI/BOKI-DOMA,2,KEBBI,KB,BAGUDO,5,0.3528801546,0.0046503629,BAGUDOBAHINDI/BOKI-DOMA
4.9134,11.4787,1105,BAJIDA,1,KEBBI,KB,FAKAI,9,0.937475818,0.0379238954,FAKAIBAJIDA
4.9532,12.8701,1110,BAKALE,10,SOKOTO,SO,YABO,23,0.3200517597,0.0053875287,YABOBAKALE
4.5747,12.1848,1118,BAKAYA/SABON BIRNI,2,SOKOTO,SO,TAMBUWAL,18,0.2507349049,0.0027384037,TAMBUWALBAKAYA/SABON BIRNI
6.2368,8.9448,1119,BAKEKO,1,NIGER,NG,KATCHA,10,0.2450123988,0.0030508462,KATCHABAKEKO
5.8735,12.7091,1127,BAKURA,1,ZAMFARA,ZF,BAKURA,2,0.0344848607,0.00005251834,BAKURABAKURA
4.0471,11.9270,1128,BAKUWAI,4,KEBBI,KB,SURU,18,0.4427041492,0.011363351,SURUBAKUWAI
4.6620,13.4655,1139,BALLE,6,SOKOTO,SO,GUDU,6,0.4854496789,0.0115124527,GUDUBALLE
4.1004,11.7891,1156,BANDAN,2,KEBBI,KB,SURU,18,0.3954603921,0.0076018076,SURUBANDAN
6.6383,12.5078,1158,BANGA,1,ZAMFARA,ZF,KAURA NAMODA,8,0.2024699819,0.0027210984,KAURA NAMODABANGA
6.6492,9.8570,1159,BANGAJIYA,2,NIGER,NG,SHIRORO,22,0.5301031658,0.0112163439,SHIROROBANGAJIYA
5.8136,10.7520,1160,BANGI,1,NIGER,NG,MARIGA,15,0.5282917812,0.0147358134,MARIGABANGI
5.2695,12.7165,1161,BANGI/DABAGA,9,SOKOTO,SO,BODINGA,2,0.4347144039,0.0123799577,BODINGABANGI/DABAGA
4.6982,11.5972,1164,BANGU/GARINISA,2,KEBBI,KB,FAKAI,9,0.9693512806,0.0270008385,FAKAIBANGU/GARINISA
3.8045,11.6595,1167,BANI ZUMBU,1,KEBBI,KB,DANDI,8,0.267602327,0.0028185484,DANDIBANI ZUMBU
3.6735,11.3150,1168,BANI/TSAMIYA/KALI,3,KEBBI,KB,BAGUDO,5,1.0774341048,0.0742266817,BAGUDOBANI/TSAMIYA/KALI
5.2328,13.2330,1170,BANKANU/ R KADE,2,SOKOTO,SO,KWARE,10,0.2748856221,0.0041904058,KWAREBANKANU/ R KADE
5.8707,12.1615,1184,BARAYAR-ZAKI,2,ZAMFARA,ZF,ANKA,1,0.9042732409,0.0271802452,ANKABARAYAR-ZAKI
5.4650,12.5868,1185,BARAYAR GIWA,4,SOKOTO,SO,TURETA,20,0.0855456887,0.0003058464,TURETABARAYAR GIWA
4.0042,11.6028,1187,BARBAREJO,3,KEBBI,KB,SURU,18,0.2727413667,0.004308188,SURUBARBAREJO
5.0096,11.9245,1189,BARDOKI,1,ZAMFARA,ZF,GUMMI,6,0.9136945614,0.0489484866,GUMMIBARDOKI
6.4513,13.1765,1194,BARGAJA,6,SOKOTO,SO,ISA,9,0.2114989235,0.0015787905,ISABARGAJA
5.9990,9.0714,1199,BARIKI,1,NIGER,NG,BIDA,3,0.0461922593,0.00009438987,BIDABARIKI
4.7939,12.3830,1201,BARKEJI/NABAGUDA,9,SOKOTO,SO,TAMBUWAL,18,0.3459463609,0.0050957442,TAMBUWALBARKEJI/NABAGUDA
6.4080,8.7054,1205,BARO,1,NIGER,NG,AGAIE,1,0.604021174,0.0203999147,AGAIEBARO
